,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
25,31,Travel_Rarely,Research & Development,3,2,Medical,Female,Sales Executive,Single,42850,1.0,21,8,1,1.0,2,1,1,0,0
26,36,Non-Travel,Sales,28,1,Life Sciences,Male,Research Scientist,Divorced,48980,4.0,13,8,1,12.0,3,7,0,7,0
27,32,Travel_Rarely,Research & Development,9,1,Medical,Female,Laboratory Technician,Single,27410,1.0,15,8,1,1.0,5,1,0,1,1
28,23,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,Manufacturing Director,Divorced,53990,1.0,23,8,0,4.0,2,4,0,2,0
29,32,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,Research Scientist,Married,47210,3.0,14,8,1,6.0,3,3,0,2,0
30,28,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Research Director,Single,100960,5.0,13,8,0,6.0,2,4,0,3,1
31,32,Travel_Rarely,Research & Development,5,3,Medical,Male,Healthcare Representative,Married,34770,1.0,11,8,0,14.0,2,14,9,8,1
32,43,Travel_Rarely,Research & Development,7,2,Medical,Female,Laboratory Technician,Single,195020,3.0,18,8,2,23.0,3,21,15,17,0
33,32,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,Sales Executive,Married,96020,1.0,13,8,1,10.0,3,10,1,1,1
34,42,Travel_Rarely,Research & Development,8,2,Life Sciences,Female,Manager,Single,40140,8.0,13,8,1,24.0,3,1,0,1,0
35,29,Travel_Frequently,Research & Development,8,1,Medical,Male,Research Scientist,Married,40370,0.0,14,8,0,4.0,2,3,0,2,0
36,36,Travel_Frequently,Sales,21,3,Life Sciences,Male,Human Resources,Married,23290,3.0,15,8,0,9.0,2,3,0,2,0
37,56,Travel_Rarely,Research & Development,3,2,Other,Male,Healthcare Representative,Divorced,44490,,15,8,0,28.0,3,5,4,2,0
38,36,Travel_Rarely,Research & Development,1,3,Medical,Female,Healthcare Representative,Married,196360,1.0,12,8,1,10.0,3,10,9,0,0
39,24,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,Research Scientist,Divorced,14160,1.0,15,8,1,6.0,3,6,1,2,0
40,46,Travel_Rarely,Sales,2,3,Life Sciences,Female,Research Scientist,Single,34200,3.0,13,8,2,22.0,3,2,2,1,0
41,55,Travel_Rarely,Research & Development,23,1,Life Sciences,Male,Laboratory Technician,Divorced,23420,5.0,11,8,2,8.0,2,4,1,2,0
42,39,Travel_Frequently,Research & Development,2,3,Technical Degree,Female,Manager,Single,131940,0.0,11,8,0,10.0,2,9,3,8,0
43,30,Travel_Rarely,Research & Development,1,3,Medical,Female,Sales Executive,Divorced,103060,5.0,13,8,0,8.0,5,3,2,2,0
44,41,Travel_Rarely,Research & Development,3,3,Medical,Male,Manufacturing Director,Married,72600,1.0,16,8,0,22.0,2,22,2,10,0
45,29,Travel_Rarely,Research & Development,16,2,Life Sciences,Female,Laboratory Technician,Divorced,36460,1.0,14,8,0,10.0,3,10,8,8,0
46,29,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Sales Executive,Single,49780,0.0,13,8,0,7.0,3,6,1,5,1
47,58,Non-Travel,Research & Development,2,4,Medical,Male,Laboratory Technician,Divorced,23760,4.0,12,8,1,37.0,3,16,14,14,0
48,36,Travel_Rarely,Research & Development,2,2,Medical,Female,Healthcare Representative,Divorced,114160,6.0,16,8,0,13.0,2,5,0,4,0
49,38,Travel_Rarely,Research & Development,23,3,Medical,Male,Sales Representative,Married,39040,1.0,22,8,0,10.0,3,10,1,9,0
50,41,Travel_Rarely,Sales,20,4,Marketing,Male,Sales Executive,Married,102090,1.0,13,8,1,23.0,2,22,15,8,1
51,43,Travel_Rarely,Sales,27,4,Life Sciences,Male,Sales Representative,Divorced,39770,4.0,18,8,1,8.0,3,5,0,2,0
52,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,Research Scientist,Married,63840,3.0,19,8,2,19.0,4,10,0,1,0
53,53,Travel_Rarely,Research & Development,11,3,Medical,Male,Manager,Married,21090,2.0,13,8,0,31.0,3,25,3,7,0
54,48,Travel_Frequently,Sales,10,4,Marketing,Female,Manager,Married,22700,2.0,14,8,3,23.0,2,2,2,2,0
55,59,Travel_Rarely,Research & Development,3,4,Technical Degree,Male,Research Scientist,Single,40510,5.0,16,8,3,13.0,3,6,0,5,0
56,30,Travel_Rarely,Sales,3,3,Life Sciences,Male,Sales Executive,Divorced,51210,7.0,13,8,0,8.0,4,3,0,2,0
57,35,Travel_Rarely,Sales,24,3,Medical,Male,Healthcare Representative,Divorced,20700,1.0,13,8,3,5.0,1,4,0,2,1
58,34,Travel_Rarely,Research & Development,3,2,Technical Degree,Male,Research Director,Divorced,26590,0.0,24,8,3,10.0,2,9,1,6,0
59,27,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Human Resources,Married,37080,1.0,16,8,2,6.0,2,6,4,4,0
60,29,Travel_Rarely,Human Resources,8,3,Medical,Male,Sales Representative,Single,25870,0.0,22,8,2,4.0,3,3,2,2,0
61,44,Travel_Rarely,Sales,5,3,Life Sciences,Male,Laboratory Technician,Married,63220,4.0,11,8,1,10.0,2,3,1,2,1
62,39,Non-Travel,Research & Development,29,2,Life Sciences,Male,Sales Executive,Married,38750,3.0,15,8,0,13.0,3,6,0,5,0
63,29,Travel_Rarely,Sales,20,3,Marketing,Female,Manager,Divorced,29260,1.0,15,8,1,2.0,3,2,2,2,0
64,58,Travel_Rarely,Sales,22,3,Life Sciences,Female,Laboratory Technician,Married,24500,3.0,12,8,1,32.0,2,9,1,5,0
65,53,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,Sales Representative,Married,20890,5.0,16,8,0,28.0,2,2,2,2,0
66,35,Travel_Rarely,Sales,10,4,Marketing,Female,Research Scientist,Single,26320,3.0,13,8,3,7.0,3,2,2,2,0
67,35,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,Sales Representative,Married,48830,1.0,18,8,1,10.0,1,10,0,9,0
68,47,Non-Travel,Research & Development,21,2,Medical,Male,Sales Executive,Married,46390,0.0,11,8,1,14.0,2,13,5,12,0
69,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,Sales Executive,Divorced,133410,1.0,14,8,1,18.0,3,18,12,17,0
70,25,Travel_Rarely,Research & Development,2,4,Medical,Female,Manufacturing Director,Divorced,27850,0.0,21,8,0,6.0,2,5,0,4,0
71,29,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,Sales Representative,Single,24040,1.0,17,8,0,10.0,3,10,1,5,0
72,26,Travel_Rarely,Research & Development,3,2,Medical,Female,Healthcare Representative,Divorced,24360,1.0,24,8,0,3.0,2,3,0,2,0
73,34,Travel_Frequently,Research & Development,2,4,Medical,Female,Sales Representative,Divorced,68770,7.0,20,8,0,16.0,3,14,6,9,0
74,26,Travel_Frequently,Research & Development,22,4,Other,Female,Sales Executive,Married,20240,1.0,23,8,0,8.0,2,8,1,7,1
75,33,Travel_Rarely,Research & Development,9,1,Medical,Male,Healthcare Representative,Married,76420,2.0,20,8,1,8.0,2,2,2,2,0
76,42,Travel_Frequently,Research & Development,9,4,Medical,Male,Manufacturing Director,Divorced,92080,1.0,15,8,1,24.0,2,24,14,9,0
77,44,Travel_Rarely,Sales,24,5,Medical,Female,Sales Executive,Single,25660,9.0,11,8,1,10.0,3,5,2,3,0
78,36,Non-Travel,Human Resources,28,3,Human Resources,Male,Laboratory Technician,Single,24320,4.0,22,8,0,7.0,4,1,0,0,0
79,36,Non-Travel,Research & Development,7,2,Life Sciences,Male,Sales Executive,Single,116310,1.0,18,8,1,10.0,2,10,0,9,0
80,58,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Sales Executive,Single,29720,0.0,14,8,0,38.0,2,37,1,8,0
81,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,Human Resources,Married,66960,7.0,11,8,0,8.0,3,2,2,2,1
82,29,Travel_Rarely,Sales,9,3,Life Sciences,Male,Laboratory Technician,Single,111030,1.0,12,8,0,10.0,5,10,0,9,0
83,29,Travel_Rarely,Research & Development,2,4,Medical,Male,Laboratory Technician,Divorced,26790,2.0,15,8,0,10.0,2,3,0,2,0
84,49,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,Married,69490,1.0,14,8,1,10.0,2,9,1,4,0
85,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,Manufacturing Director,Married,29360,4.0,12,8,1,10.0,2,8,7,7,0
86,55,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,Sales Executive,Single,55380,0.0,17,8,0,37.0,2,36,4,13,0
87,38,Travel_Rarely,Sales,6,4,Life Sciences,Female,Research Scientist,Married,107480,7.0,15,8,0,17.0,3,1,0,0,1
88,41,Travel_Frequently,Research & Development,16,1,Medical,Female,Research Scientist,Single,28100,1.0,11,8,0,8.0,3,8,7,7,1
89,36,Travel_Rarely,Research & Development,9,2,Medical,Male,Sales Executive,Divorced,119350,1.0,11,8,3,7.0,6,7,1,7,0
90,46,Non-Travel,Research & Development,9,2,Life Sciences,Male,Manufacturing Director,Single,57310,8.0,17,8,0,6.0,2,2,2,2,0
91,28,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Healthcare Representative,Married,111590,1.0,12,8,0,5.0,2,5,0,4,0
92,34,Travel_Rarely,Research & Development,20,3,Medical,Female,Laboratory Technician,Divorced,57440,3.0,19,8,1,7.0,4,0,0,0,0
93,46,Travel_Rarely,Research & Development,9,3,Medical,Male,Manager,Divorced,164370,8.0,15,8,1,16.0,0,4,0,2,0
94,33,Travel_Rarely,Sales,5,4,Marketing,Male,Research Director,Divorced,66520,7.0,25,8,0,8.0,5,4,1,3,1
95,45,Travel_Rarely,Research & Development,18,1,Life Sciences,Female,Sales Representative,Married,58110,0.0,14,8,0,25.0,4,24,1,7,0
96,52,Travel_Rarely,Research & Development,5,4,Other,Male,Laboratory Technician,Married,29110,2.0,17,8,2,26.0,3,9,7,8,0
97,54,Travel_Rarely,Research & Development,2,4,Medical,Male,Human Resources,Single,89380,7.0,11,8,3,19.0,2,1,0,0,0
98,29,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Healthcare Representative,Married,41570,1.0,17,8,3,6.0,2,6,1,2,0
99,36,Travel_Rarely,Research & Development,11,3,Life Sciences,Male,Sales Executive,Married,131910,1.0,14,8,1,10.0,2,10,1,7,0
100,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,Research Scientist,Married,48210,6.0,14,8,2,6.0,2,3,1,2,1
101,43,Travel_Rarely,Sales,9,5,Technical Degree,Female,Research Director,Divorced,12740,1.0,19,8,0,6.0,3,5,1,4,0
102,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,Human Resources,Single,65450,4.0,15,8,0,22.0,2,1,0,0,1
103,28,Travel_Rarely,Sales,9,3,Medical,Female,Sales Executive,Married,47660,1.0,12,8,0,5.0,3,5,0,3,0
104,32,Travel_Rarely,Human Resources,13,4,Life Sciences,Female,Manufacturing Director,Married,85640,2.0,16,8,1,6.0,2,4,1,2,0
105,50,Travel_Frequently,Sales,4,2,Life Sciences,Female,Laboratory Technician,Divorced,167990,7.0,14,8,1,12.0,2,6,0,1,1
106,26,Travel_Rarely,Research & Development,3,2,Medical,Female,Healthcare Representative,Divorced,24360,1.0,24,8,0,3.0,2,3,0,2,0
107,43,Travel_Rarely,Sales,7,4,Marketing,Male,Sales Executive,Divorced,48760,4.0,16,8,2,4.0,4,1,0,0,0
108,29,Travel_Rarely,Research & Development,1,2,Medical,Female,Sales Executive,Single,106730,1.0,13,8,3,1.0,2,1,0,0,0
109,39,Non-Travel,Research & Development,8,5,Medical,Female,Sales Representative,Married,188240,6.0,19,8,1,10.0,4,3,1,2,0
110,35,Travel_Rarely,Research & Development,12,2,Medical,Female,Sales Representative,Married,28090,4.0,23,8,1,10.0,2,8,0,0,0
111,29,Travel_Rarely,Research & Development,1,2,Medical,Male,Sales Representative,Divorced,42400,1.0,14,8,0,10.0,2,10,0,9,0
112,35,Travel_Rarely,Research & Development,2,3,Medical,Female,Sales Executive,Married,21570,1.0,25,8,0,16.0,1,16,1,10,0
113,27,Travel_Rarely,Sales,3,2,Technical Degree,Male,Healthcare Representative,Married,135770,1.0,12,8,1,6.0,2,5,1,2,0
114,41,Travel_Rarely,Research & Development,3,3,Medical,Male,Manufacturing Director,Married,72600,1.0,16,8,0,22.0,2,22,2,10,0
115,24,Non-Travel,Research & Development,2,5,Technical Degree,Male,Healthcare Representative,Married,187220,0.0,22,8,1,6.0,3,5,3,4,0
116,35,Travel_Rarely,Sales,8,1,Marketing,Female,Laboratory Technician,Married,37600,1.0,14,8,3,10.0,2,10,0,6,0
117,33,Travel_Rarely,Sales,2,3,Marketing,Female,Sales Executive,Single,59140,3.0,16,8,1,6.0,4,3,0,2,0
118,24,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,Healthcare Representative,Single,25010,9.0,12,8,0,4.0,3,2,2,0,1
119,26,Travel_Rarely,Sales,17,3,Medical,Female,Manager,Married,57690,1.0,19,8,0,5.0,4,5,4,3,0
120,40,Travel_Rarely,Sales,6,3,Life Sciences,Male,Manufacturing Director,Single,104820,1.0,11,8,1,21.0,6,21,12,8,0
121,54,Travel_Rarely,Sales,8,2,Marketing,Female,Laboratory Technician,Married,61340,2.0,19,8,0,16.0,2,6,0,5,0
122,26,Travel_Rarely,Sales,4,3,Marketing,Male,Manager,Single,24040,1.0,12,8,0,1.0,6,1,0,1,1
123,25,Travel_Rarely,Human Resources,25,4,Human Resources,Female,Research Scientist,Married,82680,1.0,12,8,0,7.0,3,7,5,6,1
124,36,Travel_Rarely,Research & Development,24,3,Other,Female,Research Director,Married,63970,4.0,14,8,1,11.0,3,3,0,2,0
125,38,Travel_Frequently,Sales,9,3,Marketing,Male,Manufacturing Director,Married,52040,3.0,13,8,1,10.0,2,6,1,2,0
126,36,Travel_Rarely,Sales,5,3,Technical Degree,Male,Sales Executive,Single,54050,4.0,14,8,0,10.0,2,8,7,7,0
127,56,Travel_Rarely,Human Resources,1,2,Medical,Female,Sales Executive,Single,25590,1.0,21,8,0,5.0,3,4,1,0,1
128,56,Travel_Rarely,Research & Development,3,2,Other,Male,Healthcare Representative,Divorced,44490,4.0,15,8,0,28.0,3,5,4,2,0
129,47,Travel_Rarely,Research & Development,6,4,Other,Male,Manager,Married,63470,1.0,14,8,0,26.0,2,26,3,0,0
130,27,Travel_Rarely,Sales,9,3,Marketing,Male,Research Director,Single,59930,0.0,14,8,1,5.0,3,4,1,1,0
131,50,Travel_Rarely,Research & Development,9,3,Medical,Female,Laboratory Technician,Single,98880,6.0,15,8,0,20.0,2,4,1,3,0
132,54,Travel_Rarely,Sales,24,3,Marketing,Male,Laboratory Technician,Married,26000,3.0,14,8,0,36.0,5,10,4,7,0
133,45,Non-Travel,Sales,1,4,Technical Degree,Male,Research Scientist,Married,170480,4.0,15,8,0,10.0,3,8,5,7,0
134,31,Non-Travel,Research & Development,28,4,Medical,Male,Research Scientist,Single,25930,0.0,21,8,0,4.0,2,3,1,2,1
135,36,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,Sales Executive,Married,21320,4.0,20,8,0,9.0,1,3,0,2,0
136,50,Travel_Frequently,Research & Development,3,3,Other,Male,Research Scientist,Married,42940,2.0,20,8,0,32.0,2,30,12,13,0
137,28,Travel_Frequently,Research & Development,2,3,Life Sciences,Female,Sales Representative,Married,21270,1.0,14,8,0,2.0,3,2,2,2,0
138,40,Travel_Rarely,Research & Development,8,3,Medical,Female,Healthcare Representative,Married,86280,2.0,20,8,0,8.0,2,6,1,0,1
139,35,Travel_Rarely,Human Resources,14,1,Life Sciences,Male,Research Scientist,Married,79880,1.0,18,8,0,4.0,3,4,1,1,0
140,38,Travel_Rarely,Research & Development,7,4,Medical,Male,Sales Executive,Single,66530,7.0,20,8,1,10.0,2,1,0,0,0
141,30,Travel_Rarely,Human Resources,1,4,Human Resources,Female,Manager,Married,174260,2.0,12,8,1,12.0,0,10,7,4,0
142,31,Travel_Rarely,Sales,25,2,Life Sciences,Female,Manufacturing Director,Divorced,182130,8.0,21,8,2,4.0,3,2,2,2,0
143,32,Travel_Rarely,Sales,9,4,Life Sciences,Female,Research Scientist,Single,57690,1.0,11,8,0,4.0,3,4,1,2,0
144,31,Travel_Frequently,Sales,3,3,Marketing,Male,Sales Executive,Single,46210,2.0,18,8,1,9.0,3,5,1,4,0
145,27,Travel_Frequently,Sales,24,3,Life Sciences,Male,Healthcare Representative,Single,31720,1.0,20,8,1,9.0,1,9,1,7,0
146,35,Travel_Rarely,Human Resources,14,1,Life Sciences,Male,Research Scientist,Married,79880,1.0,18,8,0,4.0,3,4,1,1,0
147,56,Travel_Rarely,Sales,3,2,Medical,Female,Manufacturing Director,Single,26910,6.0,16,8,1,36.0,6,7,7,7,0
148,44,Travel_Rarely,Human Resources,6,2,Human Resources,Male,Sales Executive,Single,45580,1.0,13,8,1,6.0,2,6,0,2,1
149,25,Travel_Rarely,Research & Development,1,4,Medical,Male,Sales Executive,Married,25000,4.0,14,8,2,7.0,2,3,0,2,0
150,44,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,Married,40110,4.0,14,8,1,26.0,2,2,0,1,0
151,25,Travel_Rarely,Research & Development,2,4,Medical,Female,Manufacturing Director,Divorced,27850,0.0,21,8,0,6.0,2,5,0,4,0
152,38,Non-Travel,Research & Development,2,5,Life Sciences,Male,Human Resources,Married,83210,3.0,11,8,3,13.0,5,8,7,5,0
153,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,Research Scientist,Single,63970,1.0,17,8,1,1.0,3,1,0,0,1
154,36,Non-Travel,Human Resources,28,3,Human Resources,Male,Laboratory Technician,Single,24320,4.0,22,8,0,7.0,4,1,0,0,0
155,30,Travel_Rarely,Research & Development,1,4,Technical Degree,Female,Research Scientist,Single,53010,1.0,16,8,1,10.0,3,10,1,8,0
156,53,Travel_Rarely,Research & Development,9,3,Life Sciences,Female,Laboratory Technician,Single,48090,2.0,18,8,0,19.0,2,2,2,2,0
157,40,Non-Travel,Research & Development,25,4,Other,Female,Sales Executive,Divorced,31490,2.0,15,8,1,16.0,1,9,4,8,0
158,34,Travel_Frequently,Sales,24,4,Marketing,Male,Manufacturing Director,Married,164130,6.0,16,8,0,6.0,1,4,1,2,0
159,32,Travel_Frequently,Research & Development,12,5,Medical,Male,Research Scientist,Married,95470,1.0,13,8,1,10.0,3,10,5,3,0
160,31,Travel_Frequently,Sales,3,3,Marketing,Male,Sales Executive,Single,46210,2.0,18,8,1,9.0,3,5,1,4,0
161,42,Travel_Frequently,Sales,10,3,Marketing,Female,Healthcare Representative,Divorced,28370,2.0,13,8,1,19.0,0,5,0,2,0
162,36,Travel_Rarely,Sales,1,2,Marketing,Female,Sales Executive,Divorced,86060,1.0,14,8,2,17.0,3,17,12,8,0
163,39,Travel_Rarely,Sales,2,4,Life Sciences,Male,Laboratory Technician,Divorced,72640,0.0,17,8,0,11.0,5,10,0,7,0
164,32,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,Research Director,Single,41480,7.0,15,8,0,10.0,0,5,0,4,1
165,32,Travel_Rarely,Research & Development,6,3,Technical Degree,Male,Research Scientist,Married,36600,3.0,11,8,2,10.0,0,4,0,2,0
166,42,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,Sales Executive,Married,132060,0.0,13,8,2,7.0,2,6,0,4,0
167,37,Non-Travel,Research & Development,1,5,Medical,Female,Research Scientist,Single,62610,1.0,12,8,0,10.0,1,10,0,9,0
168,28,Travel_Rarely,Research & Development,9,4,Medical,Male,Sales Executive,Married,56730,5.0,14,8,1,5.0,4,3,2,2,1
169,34,Travel_Frequently,Sales,2,1,Marketing,Female,Manager,Divorced,26860,5.0,11,8,0,10.0,3,4,1,3,0
170,37,Non-Travel,Research & Development,1,3,Medical,Male,Laboratory Technician,Married,20080,3.0,22,8,0,15.0,5,13,10,7,0
171,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,Sales Executive,Single,50030,9.0,15,8,0,10.0,2,1,0,0,0
172,29,Travel_Rarely,Research & Development,29,3,Medical,Female,Research Scientist,Married,23070,1.0,13,8,1,7.0,0,7,0,7,1
173,39,Travel_Rarely,Sales,25,3,Medical,Male,Sales Executive,Married,197010,0.0,11,8,0,21.0,3,20,9,6,0
174,21,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,Research Scientist,Single,26100,1.0,11,8,1,2.0,3,2,2,2,0
175,37,Non-Travel,Research & Development,1,3,Medical,Male,Laboratory Technician,Married,20080,3.0,22,8,0,15.0,5,13,10,7,0
176,31,Travel_Rarely,Research & Development,28,4,Technical Degree,Female,Sales Executive,Married,127420,1.0,11,8,0,10.0,4,10,0,2,0
177,55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Human Resources,Married,27810,8.0,13,8,1,19.0,2,5,0,4,0
178,22,Travel_Rarely,Research & Development,16,2,Life Sciences,Female,Laboratory Technician,Single,35790,1.0,19,8,3,1.0,3,1,0,0,1
179,34,Travel_Rarely,Sales,15,2,Marketing,Female,Research Scientist,Single,84630,2.0,13,8,0,8.0,2,4,1,3,1
180,36,Travel_Frequently,Research & Development,8,3,Other,Female,Sales Executive,Married,69620,4.0,12,8,2,4.0,2,1,0,0,0
181,45,Travel_Rarely,Research & Development,2,3,Medical,Female,Sales Executive,Married,50980,3.0,14,8,1,8.0,4,2,0,2,0
182,29,Travel_Rarely,Research & Development,1,2,Medical,Male,Sales Representative,Divorced,42400,1.0,14,8,0,10.0,2,10,0,9,0
183,37,Non-Travel,Sales,24,2,Life Sciences,Male,Research Scientist,Divorced,68150,5.0,20,8,1,17.0,3,1,0,0,0
184,47,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Sales Executive,Single,42490,2.0,13,8,1,25.0,2,17,12,11,0
185,30,Travel_Rarely,Sales,25,3,Marketing,Male,Sales Executive,Single,24060,2.0,20,8,1,11.0,5,5,0,2,0
186,58,Travel_Rarely,Sales,9,2,Medical,Female,Sales Executive,Single,59570,4.0,14,8,1,7.0,2,1,0,0,1
187,39,Non-Travel,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,Single,28510,9.0,15,8,0,9.0,2,5,0,3,0
188,28,Non-Travel,Research & Development,21,1,Medical,Male,Research Scientist,Single,79780,1.0,16,8,2,5.0,2,5,1,4,0
189,25,Travel_Rarely,Research & Development,26,3,Technical Degree,Male,Laboratory Technician,Married,88530,1.0,22,8,1,2.0,3,2,2,1,0
190,22,Travel_Rarely,Research & Development,3,3,Medical,Male,Laboratory Technician,Married,132690,1.0,25,8,1,2.0,2,2,2,2,0
191,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,Sales Representative,Divorced,24380,7.0,16,8,0,10.0,5,7,6,2,0
192,48,Travel_Rarely,Research & Development,6,3,Medical,Male,Laboratory Technician,Married,108540,2.0,14,8,1,14.0,6,9,6,7,0
193,27,Travel_Rarely,Research & Development,2,5,Life Sciences,Female,Research Scientist,Single,137700,1.0,18,8,1,8.0,3,8,7,7,1
194,44,Travel_Rarely,Sales,26,1,Marketing,Male,Sales Representative,Married,107610,3.0,11,8,1,24.0,5,20,14,17,0
195,32,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,Single,191900,3.0,17,8,1,8.0,2,4,0,3,1
196,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,Manager,Single,55610,1.0,21,8,1,1.0,3,1,0,0,1
197,31,Travel_Rarely,Sales,1,3,Marketing,Female,Sales Executive,Divorced,64650,4.0,17,8,0,13.0,3,7,5,7,0
198,38,Travel_Rarely,Sales,10,3,Medical,Male,Laboratory Technician,Married,181720,6.0,12,8,2,6.0,5,1,0,1,0
